"month","year","monthbyyear","month_year","avg_pm2.5","avg_so2","avg_ozone","avg_no2","avg_co"
1,"2017",1,"2017-01",9.77652582159624,0.820833333333333,0.0290181818181818,21.9048387096774,0.48
2,"2017",2,"2017-02",5.32863849765258,0.561538461538462,0.0305333333333333,23.4927272727273,0.385454545454545
3,"2017",3,"2017-03",3.8428,0.575,0.0333846153846154,21.6310344827586,0.351612903225806
4,"2017",4,"2017-04",3.8575,0.54,0.0366271186440678,21.9777777777778,0.341666666666667
5,"2017",5,"2017-05",3.91235521235521,0.61,0.0367401129943503,18.155737704918,NA
6,"2017",6,"2017-06",3.67701149425287,0.463333333333333,0.0350790960451977,14.3466666666667,0.25
7,"2017",7,"2017-07",3.73715277777778,0.606451612903226,0.0350216216216216,11.6467741935484,0.176923076923077
8,"2017",8,"2017-08",13.6473186119874,1.04516129032258,0.0467790055248619,19.6803278688525,0.301612903225806
9,"2017",9,"2017-09",11.4456140350877,1.0375,0.0347245508982036,24.2509090909091,0.421666666666667
10,"2017",10,"2017-10",8.07087719298246,1.61290322580645,0.0219811320754717,21.6631578947368,0.52741935483871
11,"2017",11,"2017-11",6.54198473282443,1.25,0.0190833333333333,19.7816666666667,0.4
12,"2017",12,"2017-12",9.55189393939394,0.517647058823529,0.0165344827586207,17.2161290322581,0.42258064516129
13,"2018",1,"2018-01",4.6954954954955,0.353333333333333,0.0240645161290323,18.7766666666667,0.380645161290323
14,"2018",2,"2018-02",5.72995391705069,0.691666666666667,0.0233214285714286,24.3632653061225,0.456363636363636
15,"2018",3,"2018-03",4.35338645418327,1.24838709677419,0.0308709677419355,23.7790322580645,0.430188679245283
16,"2018",4,"2018-04",4.1184,0.873333333333333,0.0354545454545455,18.9466666666667,0.346428571428571
17,"2018",5,"2018-05",4.36148148148148,0.845161290322581,0.0355294117647059,16.0690909090909,0.269565217391304
18,"2018",6,"2018-06",3.5491103202847,0.893333333333333,0.0344054054054054,15.925,0.314285714285714
19,"2018",7,"2018-07",5.12522796352584,1.44736842105263,0.0398198757763975,16.1202898550725,0.336585365853659
20,"2018",8,"2018-08",14.3129577464789,1.39615384615385,0.0381772151898734,19.7790322580645,0.443661971830986
21,"2018",9,"2018-09",5.46190476190476,0.551724137931034,0.0314108527131783,18.285,0.438333333333333
22,"2018",10,"2018-10",8.45310344827586,0.929032258064516,0.0217173913043478,23.9725806451613,0.590322580645161
23,"2018",11,"2018-11",10.8320284697509,0.683333333333333,0.0183389830508475,20.8354166666667,0.536666666666667
24,"2018",12,"2018-12",7.56573426573427,0.685714285714286,0.0211607142857143,18.152380952381,0.514516129032258
25,"2019",1,"2019-01",7.6136690647482,0.660869565217391,0.0210862068965517,16.8551724137931,0.514516129032258
26,"2019",2,"2019-02",5.71015625,0.495833333333333,0.0279259259259259,21.9452830188679,0.423636363636364
27,"2019",3,"2019-03",5.27482993197279,0.396666666666667,0.0376181818181818,20.2775862068966,0.332258064516129
28,"2019",4,"2019-04",3.79233576642336,0.377777777777778,0.0340338983050847,19.9074074074074,0.2975
29,"2019",5,"2019-05",4.47819314641745,0.403333333333333,0.0364342105263158,14.4907407407407,0.251063829787234
30,"2019",6,"2019-06",3.10096153846154,0.253333333333333,0.0327651006711409,12.8466666666667,0.176363636363636
31,"2019",7,"2019-07",3.57551622418879,0.451724137931034,0.0319013157894737,11.52,0.114516129032258
32,"2019",8,"2019-08",4.96067415730337,0.651612903225806,0.0358645161290323,13.3214285714286,0.172413793103448
33,"2019",9,"2019-09",4.07163742690059,0.42,0.026458904109589,14.0793103448276,0.202631578947368
34,"2019",10,"2019-10",6.83309352517986,0.754545454545455,0.0235915492957746,18.0754098360656,0.386046511627907
35,"2019",11,"2019-11",11.2113074204947,1.98392857142857,0.0161315789473684,18.7033333333333,0.468627450980392
36,"2019",12,"2019-12",10.0685121107266,1.01935483870968,0.0148795180722892,18.9466666666667,0.452941176470588
37,"2020",1,"2020-01",3.57681660899654,0.636206896551724,0.0274831460674157,16.75,0.196363636363636
38,"2020",2,"2020-02",6.83169811320755,1.09310344827586,0.0255081967213115,20.5035087719298,0.424137931034483
39,"2020",3,"2020-03",5.73775510204082,1.30612244897959,0.0315675675675676,18.6397058823529,0.311290322580645
40,"2020",4,"2020-04",4.77100371747212,0.3,0.0335394736842105,15.5789473684211,0.198333333333333
41,"2020",5,"2020-05",3.87603833865815,0.229032258064516,0.0357402597402597,13.4967391304348,0.143548387096774
42,"2020",6,"2020-06",3.11612903225806,0.28,0.0292866666666667,9.80135135135135,0.131666666666667
43,"2020",7,"2020-07",4.36626139817629,0.43,0.0333967391304348,10.1545454545455,0.203508771929825
44,"2020",8,"2020-08",4.51232492997199,0.4,0.0350961538461538,11.5797101449275,0.287096774193548
45,"2020",9,"2020-09",64.3490066225166,0.873076923076923,0.0313980582524272,17.3616666666667,2.52333333333333
46,"2020",10,"2020-10",8.33376623376623,0.858064516129032,0.0217049180327869,17.6305084745763,0.449180327868852
47,"2020",11,"2020-11",8.78705501618123,0.843333333333333,0.0177758620689655,16.555,0.532727272727273
48,"2020",12,"2020-12",7.1552380952381,0.680645161290323,0.0202833333333333,16.7725806451613,0.424193548387097
49,"2021",1,"2021-01",6.54407894736842,0.935483870967742,0.0200819672131148,18.9259259259259,0.460655737704918
50,"2021",2,"2021-02",5.29701492537313,0.411538461538462,0.0295178571428571,18.7603773584906,0.389285714285714
51,"2021",3,"2021-03",7.6484076433121,0.738709677419355,0.0316774193548387,21.5629032258065,0.474193548387097
