"Date","Source","Site ID","POC","Daily Mean PM2.5 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/01/2023","AQS","410050004","3","9.9","ug/m3 LC","41","CARUS TRAILER/SPANGLER RD","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","005","Clackamas","45.25928","-122.588151"
"01/02/2023","AQS","410050004","3","6.2","ug/m3 LC","26","CARUS TRAILER/SPANGLER RD","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","005","Clackamas","45.25928","-122.588151"
"01/03/2023","AQS","410050004","3","3.9","ug/m3 LC","16","CARUS TRAILER/SPANGLER RD","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","005","Clackamas","45.25928","-122.588151"
"01/04/2023","AQS","410050004","3","1.7","ug/m3 LC","7","CARUS TRAILER/SPANGLER RD","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","005","Clackamas","45.25928","-122.588151"
"01/05/2023","AQS","410050004","3","2.1","ug/m3 LC","9","CARUS TRAILER/SPANGLER RD","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","005","Clackamas","45.25928","-122.588151"
"01/06/2023","AQS","410050004","3","3","ug/m3 LC","13","CARUS TRAILER/SPANGLER RD","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","005","Clackamas","45.25928","-122.588151"
"01/07/2023","AQS","410050004","3","5.5","ug/m3 LC","23","CARUS TRAILER/SPANGLER RD","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","005","Clackamas","45.25928","-122.588151"
"01/08/2023","AQS","410050004","3","1.8","ug/m3 LC","8","CARUS TRAILER/SPANGLER RD","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","005","Clackamas","45.25928","-122.588151"
"01/09/2023","AQS","410050004","3","1.9","ug/m3 LC","8","CARUS TRAILER/SPANGLER RD","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","005","Clackamas","45.25928","-122.588151"
"01/10/2023","AQS","410050004","3","2.2","ug/m3 LC","9","CARUS TRAILER/SPANGLER RD","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","005","Clackamas","45.25928","-122.588151"
