Date,Daily Mean PM2.5 Concentration,DAILY_AQI_VALUE,CBSA_NAME
2017-09-05,57.8,152,"Portland-Vancouver-Hillsboro, OR-WA"
2017-09-06,43.9,122,"Portland-Vancouver-Hillsboro, OR-WA"
2017-09-07,22.1,72,"Portland-Vancouver-Hillsboro, OR-WA"
2017-09-08,10.5,44,"Portland-Vancouver-Hillsboro, OR-WA"
2017-09-09,5.1,21,"Portland-Vancouver-Hillsboro, OR-WA"
2017-09-10,3.1,13,"Portland-Vancouver-Hillsboro, OR-WA"
2017-09-11,10.6,44,"Portland-Vancouver-Hillsboro, OR-WA"
2017-09-12,4.2,18,"Portland-Vancouver-Hillsboro, OR-WA"
2017-09-13,3.3,14,"Portland-Vancouver-Hillsboro, OR-WA"
2017-09-14,5.3,22,"Portland-Vancouver-Hillsboro, OR-WA"
2017-09-15,9.2,38,"Portland-Vancouver-Hillsboro, OR-WA"
2017-09-16,33.6,96,"Portland-Vancouver-Hillsboro, OR-WA"
2017-09-17,4.1,17,"Portland-Vancouver-Hillsboro, OR-WA"
2017-09-18,2.6,11,"Portland-Vancouver-Hillsboro, OR-WA"
2017-09-19,2.2,9,"Portland-Vancouver-Hillsboro, OR-WA"
2017-09-20,1.9,8,"Portland-Vancouver-Hillsboro, OR-WA"
2017-09-21,3.1,13,"Portland-Vancouver-Hillsboro, OR-WA"
2017-09-22,5.6,23,"Portland-Vancouver-Hillsboro, OR-WA"
2017-09-23,5.1,21,"Portland-Vancouver-Hillsboro, OR-WA"
2017-09-24,5.5,23,"Portland-Vancouver-Hillsboro, OR-WA"
2017-09-25,7.6,32,"Portland-Vancouver-Hillsboro, OR-WA"
2017-09-26,5.3,22,"Portland-Vancouver-Hillsboro, OR-WA"
2017-09-27,3.3,14,"Portland-Vancouver-Hillsboro, OR-WA"
2017-09-28,5.2,22,"Portland-Vancouver-Hillsboro, OR-WA"
2017-09-29,4.8,20,"Portland-Vancouver-Hillsboro, OR-WA"
2017-09-30,4.1,17,"Portland-Vancouver-Hillsboro, OR-WA"
2017-01-01,0.2,1,"Portland-Vancouver-Hillsboro, OR-WA"
2017-01-04,1.3,5,"Portland-Vancouver-Hillsboro, OR-WA"
2017-01-07,1,4,"Portland-Vancouver-Hillsboro, OR-WA"
2017-01-10,0.4,2,"Portland-Vancouver-Hillsboro, OR-WA"
2017-01-13,0.3,1,"Portland-Vancouver-Hillsboro, OR-WA"
2017-01-16,1,4,"Portland-Vancouver-Hillsboro, OR-WA"
2017-01-19,0.3,1,"Portland-Vancouver-Hillsboro, OR-WA"
2017-01-22,0.3,1,"Portland-Vancouver-Hillsboro, OR-WA"
2017-01-28,0.6,3,"Portland-Vancouver-Hillsboro, OR-WA"
2017-01-31,0.1,0,"Portland-Vancouver-Hillsboro, OR-WA"
2017-02-03,0.8,3,"Portland-Vancouver-Hillsboro, OR-WA"
2017-02-06,0,0,"Portland-Vancouver-Hillsboro, OR-WA"
2017-02-09,0.1,0,"Portland-Vancouver-Hillsboro, OR-WA"
2017-02-12,0.5,2,"Portland-Vancouver-Hillsboro, OR-WA"
2017-02-15,0.3,1,"Portland-Vancouver-Hillsboro, OR-WA"
2017-02-21,0,0,"Portland-Vancouver-Hillsboro, OR-WA"
2017-02-24,0.6,3,"Portland-Vancouver-Hillsboro, OR-WA"
2017-02-27,0.1,0,"Portland-Vancouver-Hillsboro, OR-WA"
2017-03-02,1.9,8,"Portland-Vancouver-Hillsboro, OR-WA"
2017-03-08,0,0,"Portland-Vancouver-Hillsboro, OR-WA"
2017-03-11,0.6,3,"Portland-Vancouver-Hillsboro, OR-WA"
2017-03-14,1.1,5,"Portland-Vancouver-Hillsboro, OR-WA"
2017-03-17,1.2,5,"Portland-Vancouver-Hillsboro, OR-WA"
2017-03-20,1.4,6,"Portland-Vancouver-Hillsboro, OR-WA"
2017-03-23,1.2,5,"Portland-Vancouver-Hillsboro, OR-WA"
2017-03-26,0.1,0,"Portland-Vancouver-Hillsboro, OR-WA"
2017-03-29,0.1,0,"Portland-Vancouver-Hillsboro, OR-WA"
2017-04-01,0.7,3,"Portland-Vancouver-Hillsboro, OR-WA"
2017-04-04,1.8,8,"Portland-Vancouver-Hillsboro, OR-WA"
2017-04-07,0.4,2,"Portland-Vancouver-Hillsboro, OR-WA"
2017-04-10,0.8,3,"Portland-Vancouver-Hillsboro, OR-WA"
2017-04-13,0.5,2,"Portland-Vancouver-Hillsboro, OR-WA"
2017-04-16,1.5,6,"Portland-Vancouver-Hillsboro, OR-WA"
2017-04-19,1.8,8,"Portland-Vancouver-Hillsboro, OR-WA"
2017-04-22,0.9,4,"Portland-Vancouver-Hillsboro, OR-WA"
2017-04-25,0.3,1,"Portland-Vancouver-Hillsboro, OR-WA"
2017-04-28,0.8,3,"Portland-Vancouver-Hillsboro, OR-WA"
