month_year,avg_pm2.5
2017-01,9.776525821596245
2017-02,5.328638497652582
2017-03,3.8428
2017-04,3.8575
2017-05,3.9123552123552123
2017-06,3.6770114942528735
2017-07,3.7371527777777778
2017-08,13.647318611987382
2017-09,11.44561403508772
2017-10,8.070877192982456
2017-11,6.541984732824427
2017-12,9.55189393939394
2018-01,4.6954954954954955
2018-02,5.7299539170506915
2018-03,4.3533864541832665
2018-04,4.1184
2018-05,4.361481481481482
2018-06,3.5491103202846976
2018-07,5.125227963525836
2018-08,14.312957746478874
2018-09,5.461904761904761
2018-10,8.453103448275861
2018-11,10.83202846975089
2018-12,7.5657342657342666
2019-01,7.613669064748201
2019-02,5.71015625
2019-03,5.274829931972789
2019-04,3.7923357664233572
2019-05,4.478193146417445
2019-06,3.1009615384615383
2019-07,3.5755162241887906
2019-08,4.96067415730337
2019-09,4.071637426900585
2019-10,6.833093525179857
2019-11,11.2113074204947
2019-12,10.068512110726644
2020-01,3.57681660899654
2020-02,6.831698113207547
2020-03,5.737755102040817
2020-04,4.7710037174721185
2020-05,3.876038338658147
2020-06,3.1161290322580646
2020-07,4.366261398176292
2020-08,4.512324929971989
2020-09,64.34900662251655
2020-10,8.333766233766234
2020-11,8.78705501618123
2020-12,7.155238095238096
2021-01,6.544078947368421
2021-02,5.2970149253731345
2021-03,7.648407643312102
2021-04,4.684984025559105
2021-05,3.493949044585987
2021-06,4.393015873015873
2021-07,4.426168224299065
2021-08,5.875555555555556
2021-09,4.864495114006514
2021-10,6.617307692307692
2021-11,5.681639344262295
2021-12,4.86
2022-01,7.07
2022-02,7.307266435986159
2022-03,4.9601246105919
2022-04,3.6843648208469055
2022-05,3.1209523809523807
2022-06,3.5419871794871796
2022-07,5.047515527950311
2022-08,5.025545171339564
2022-09,8.137299035369775
2022-10,16.58244514106583
2022-11,10.26
2022-12,7.660539215686274
2023-01,5.5569444444444445
2023-02,7.02465034965035
2023-03,4.243146417445483
2023-04,3.3620632279534113
2023-05,4.46741935483871
2023-06,3.786294416243655
2023-07,4.3493129770992365
2023-08,8.385560675883257
2023-09,4.627707006369427
2023-10,6.792252252252252
2023-11,8.422201492537313
2023-12,5.397892720306514
