"Date","Source","Site ID","POC","Daily Max 8-hour Ozone Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"05/28/2017","AQS","410050004","1","0.037","ppm","34","CARUS TRAILER/SPANGLER RD","17","100.0000","44201","Ozone","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","005","Clackamas","45.25928","-122.588151"
"05/29/2017","AQS","410050004","1","0.03","ppm","28","CARUS TRAILER/SPANGLER RD","17","100.0000","44201","Ozone","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","005","Clackamas","45.25928","-122.588151"
"05/30/2017","AQS","410050004","1","0.022","ppm","20","CARUS TRAILER/SPANGLER RD","17","100.0000","44201","Ozone","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","005","Clackamas","45.25928","-122.588151"
"05/31/2017","AQS","410050004","1","0.037","ppm","34","CARUS TRAILER/SPANGLER RD","17","100.0000","44201","Ozone","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","005","Clackamas","45.25928","-122.588151"
"06/01/2017","AQS","410050004","1","0.03","ppm","28","CARUS TRAILER/SPANGLER RD","17","100.0000","44201","Ozone","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","005","Clackamas","45.25928","-122.588151"
"06/02/2017","AQS","410050004","1","0.04","ppm","37","CARUS TRAILER/SPANGLER RD","17","100.0000","44201","Ozone","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","005","Clackamas","45.25928","-122.588151"
"06/03/2017","AQS","410050004","1","0.028","ppm","26","CARUS TRAILER/SPANGLER RD","17","100.0000","44201","Ozone","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","005","Clackamas","45.25928","-122.588151"
"06/04/2017","AQS","410050004","1","0.042","ppm","39","CARUS TRAILER/SPANGLER RD","17","100.0000","44201","Ozone","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","005","Clackamas","45.25928","-122.588151"
"06/05/2017","AQS","410050004","1","0.04","ppm","37","CARUS TRAILER/SPANGLER RD","17","100.0000","44201","Ozone","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","005","Clackamas","45.25928","-122.588151"
"06/06/2017","AQS","410050004","1","0.05","ppm","46","CARUS TRAILER/SPANGLER RD","17","100.0000","44201","Ozone","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","005","Clackamas","45.25928","-122.588151"
